metric,language,year,month,repo_count,total_stars
month_wise_trend,TypeScript,2023,4,4,211360
month_wise_trend,Python,2024,7,9,246674
month_wise_trend,Python,2022,12,13,318122
month_wise_trend,C,2022,9,2,27331
month_wise_trend,MDX,2022,12,1,73241
month_wise_trend,Dart,2023,2,1,15441
month_wise_trend,HTML,2023,11,1,13834
month_wise_trend,Rust,2022,8,3,100808
month_wise_trend,C++,2022,7,1,13275
month_wise_trend,Jupyter Notebook,2022,5,1,11122
month_wise_trend,JavaScript,2022,11,1,27871
month_wise_trend,C++,2022,6,1,9223
month_wise_trend,Scala,2023,3,1,73003
month_wise_trend,C++,2024,7,1,8987
month_wise_trend,Python,2024,1,16,308533
month_wise_trend,Python,2024,8,9,185863
month_wise_trend,Dart,2024,5,1,23551
month_wise_trend,Go,2024,8,1,8518
month_wise_trend,HTML,2022,9,1,14453
month_wise_trend,Dockerfile,2022,12,1,8359
month_wise_trend,Go,2024,12,2,20446
month_wise_trend,JavaScript,2022,8,3,53841
month_wise_trend,Python,2023,10,9,347711
month_wise_trend,Vue,2023,10,1,14823
month_wise_trend,TypeScript,2023,7,2,39567
month_wise_trend,Python,2024,9,6,111173
month_wise_trend,Jupyter Notebook,2022,10,1,15938
month_wise_trend,Rust,2024,6,2,29118
month_wise_trend,Dart,2024,9,1,9251
month_wise_trend,Astro,2022,7,1,9200
month_wise_trend,Java,2022,11,1,125207
month_wise_trend,Rust,2022,7,2,28261
month_wise_trend,PHP,2024,7,1,9546
month_wise_trend,Jupyter Notebook,2023,4,4,96077
month_wise_trend,Swift,2022,12,1,8251
month_wise_trend,Python,2024,4,6,178769
month_wise_trend,Rust,2023,9,1,13324
month_wise_trend,TypeScript,2024,2,10,223067
month_wise_trend,Go,2023,10,2,36909
month_wise_trend,Rust,2023,5,2,100520
month_wise_trend,Java,2023,10,2,52571
month_wise_trend,Rust,2023,2,2,40417
month_wise_trend,Shell,2024,5,2,44729
month_wise_trend,C++,2024,8,1,25605
month_wise_trend,Shell,2024,3,1,11810
month_wise_trend,Go,2024,4,1,33356
month_wise_trend,JavaScript,2024,11,2,33241
month_wise_trend,Rust,2022,4,3,34186
month_wise_trend,C,2022,12,1,9877
month_wise_trend,Python,2023,1,4,172477
month_wise_trend,C++,2023,3,2,180836
month_wise_trend,JavaScript,2023,6,1,58248
month_wise_trend,HTML,2022,12,1,159593
month_wise_trend,Rust,2023,10,1,83195
month_wise_trend,Python,2022,5,8,148347
month_wise_trend,Python,2023,8,15,365843
month_wise_trend,JavaScript,2023,11,1,18996
month_wise_trend,Shell,2024,1,2,59056
month_wise_trend,JavaScript,2024,3,2,81707
month_wise_trend,Shell,2022,9,1,11478
month_wise_trend,C++,2022,4,1,8260
month_wise_trend,Python,2024,2,12,274085
month_wise_trend,Lua,2024,8,1,17767
month_wise_trend,Swift,2022,3,1,22775
month_wise_trend,Swift,2022,7,1,11099
month_wise_trend,Jupyter Notebook,2022,9,2,38000
month_wise_trend,Shell,2024,12,1,26216
month_wise_trend,Jupyter Notebook,2024,12,1,14675
month_wise_trend,Python,2022,9,9,226886
month_wise_trend,Dart,2023,8,1,35985
month_wise_trend,TypeScript,2022,8,9,228469
month_wise_trend,JavaScript,2022,9,3,66678
month_wise_trend,Python,2024,5,7,151572
month_wise_trend,Ruby,2024,3,1,8653
month_wise_trend,Jupyter Notebook,2023,11,2,70652
month_wise_trend,HTML,2024,5,1,157050
month_wise_trend,Dart,2023,4,1,13706
month_wise_trend,Shell,2022,8,1,10493
month_wise_trend,Svelte,2022,7,1,39534
month_wise_trend,Jupyter Notebook,2024,6,1,25045
month_wise_trend,TypeScript,2023,9,1,14155
month_wise_trend,Dart,2023,6,1,12917
month_wise_trend,SystemVerilog,2024,4,1,12182
month_wise_trend,Rust,2024,12,2,19272
month_wise_trend,TypeScript,2022,2,3,127392
month_wise_trend,Python,2023,4,15,330555
month_wise_trend,HTML,2023,5,1,23975
month_wise_trend,C,2023,7,2,36500
month_wise_trend,TypeScript,2022,4,4,72522
month_wise_trend,MDX,2024,9,1,39040
month_wise_trend,Go,2024,9,1,24762
month_wise_trend,Swift,2022,1,1,9220
month_wise_trend,JavaScript,2024,7,1,11810
month_wise_trend,HTML,2022,7,1,20474
month_wise_trend,Swift,2023,3,1,14974
month_wise_trend,Jupyter Notebook,2022,2,1,12908
month_wise_trend,Python,2023,7,5,155551
month_wise_trend,Rust,2023,6,2,44457
month_wise_trend,JavaScript,2023,8,1,12608
month_wise_trend,Kotlin,2022,6,1,9425
month_wise_trend,Jupyter Notebook,2023,5,2,28532
month_wise_trend,Go,2023,6,1,168845
month_wise_trend,JavaScript,2022,1,1,8951
month_wise_trend,C,2024,3,2,33775
month_wise_trend,C#,2022,6,1,8074
month_wise_trend,Batchfile,2024,10,1,25906
month_wise_trend,Go,2023,11,1,26534
month_wise_trend,MDX,2023,6,1,20701
month_wise_trend,Dart,2024,3,1,8063
month_wise_trend,TypeScript,2023,1,2,188945
month_wise_trend,TypeScript,2024,5,2,71205
month_wise_trend,Mojo,2023,4,1,25872
month_wise_trend,TypeScript,2024,7,7,143624
month_wise_trend,Rust,2024,7,1,11207
month_wise_trend,Kotlin,2024,7,1,14361
month_wise_trend,Shell,2024,10,1,8737
month_wise_trend,Jupyter Notebook,2023,8,2,51139
month_wise_trend,TypeScript,2024,4,12,317501
month_wise_trend,Jupyter Notebook,2023,6,3,148300
month_wise_trend,Python,2022,8,6,285392
month_wise_trend,Rust,2023,4,1,14250
month_wise_trend,Swift,2024,8,1,8214
month_wise_trend,TypeScript,2022,11,3,83371
month_wise_trend,JavaScript,2024,4,1,23405
month_wise_trend,CSS,2023,3,1,12957
month_wise_trend,Objective-C,2022,9,1,21201
month_wise_trend,C#,2022,10,1,11636
month_wise_trend,Vue,2023,2,1,31732
month_wise_trend,Svelte,2024,10,1,8956
month_wise_trend,Lua,2022,6,1,30191
month_wise_trend,Kotlin,2022,5,1,8309
month_wise_trend,Go,2024,2,1,8331
month_wise_trend,Dart,2023,10,1,14744
month_wise_trend,Java,2023,6,2,36975
month_wise_trend,Dockerfile,2022,9,1,15071
month_wise_trend,SVG,2022,3,1,12046
month_wise_trend,Go,2022,8,2,24258
month_wise_trend,Java,2023,12,1,31626
month_wise_trend,Rust,2024,2,1,16352
month_wise_trend,Go,2024,10,1,9476
month_wise_trend,Rust,2022,3,2,19109
month_wise_trend,Go,2023,8,1,28362
month_wise_trend,Go,2024,1,1,40598
month_wise_trend,JavaScript,2023,7,2,50998
month_wise_trend,C++,2023,11,1,25375
month_wise_trend,HTML,2024,9,1,11443
month_wise_trend,Go,2022,10,2,16543
month_wise_trend,HTML,2023,2,1,33964
month_wise_trend,Rust,2022,12,3,96701
month_wise_trend,C#,2023,8,2,25044
month_wise_trend,JavaScript,2024,8,1,37988
month_wise_trend,C++,2022,8,1,9233
month_wise_trend,Jupyter Notebook,2023,2,1,19066
month_wise_trend,HTML,2022,5,3,36000
month_wise_trend,HTML,2024,2,1,26141
month_wise_trend,PowerShell,2024,6,1,11310
month_wise_trend,JavaScript,2023,3,1,14905
month_wise_trend,Lua,2022,2,1,14237
month_wise_trend,Lua,2022,11,1,20721
month_wise_trend,TypeScript,2024,1,6,64503
month_wise_trend,Python,2022,4,3,51468
month_wise_trend,Rust,2022,1,2,19720
month_wise_trend,C,2022,5,2,33774
month_wise_trend,TypeScript,2022,3,8,100613
month_wise_trend,Jupyter Notebook,2023,7,3,169001
month_wise_trend,Swift,2023,11,1,12313
month_wise_trend,TypeScript,2023,8,3,76146
month_wise_trend,TypeScript,2024,8,7,110685
month_wise_trend,TypeScript,2023,3,8,282240
month_wise_trend,C++,2022,3,2,45893
month_wise_trend,Python,2023,5,15,435823
month_wise_trend,Zig,2023,2,1,28618
month_wise_trend,JavaScript,2023,9,1,23599
month_wise_trend,Python,2024,3,8,312600
month_wise_trend,Solidity,2022,4,1,13927
month_wise_trend,Python,2023,11,2,97610
month_wise_trend,TypeScript,2024,10,7,113320
month_wise_trend,Java,2024,9,1,9212
month_wise_trend,Kotlin,2024,1,2,30252
month_wise_trend,C++,2022,9,5,93853
month_wise_trend,Jupyter Notebook,2022,7,3,36004
month_wise_trend,Zig,2022,3,1,50622
month_wise_trend,Kotlin,2022,12,1,15987
month_wise_trend,Svelte,2024,11,1,14586
month_wise_trend,Kotlin,2022,3,2,40921
month_wise_trend,Jupyter Notebook,2024,5,3,64544
month_wise_trend,Go,2024,7,1,20858
month_wise_trend,Dart,2022,11,1,25946
month_wise_trend,Python,2022,2,4,84258
month_wise_trend,C,2023,12,1,32175
month_wise_trend,Go,2024,3,1,17116
month_wise_trend,Jupyter Notebook,2022,8,3,93413
month_wise_trend,TypeScript,2022,12,6,128067
month_wise_trend,Dockerfile,2022,2,1,19210
month_wise_trend,Jupyter Notebook,2024,4,4,86824
month_wise_trend,Kotlin,2022,7,1,16901
month_wise_trend,C++,2022,5,1,15348
month_wise_trend,Python,2022,7,1,8851
month_wise_trend,Jupyter Notebook,2023,3,3,85557
month_wise_trend,Go,2022,6,3,75379
month_wise_trend,Java,2024,1,1,11266
month_wise_trend,TypeScript,2023,10,2,38197
month_wise_trend,Python,2024,10,9,246213
month_wise_trend,Jupyter Notebook,2022,11,4,56897
month_wise_trend,JavaScript,2022,10,1,8524
month_wise_trend,TypeScript,2023,11,6,249423
month_wise_trend,MDX,2024,6,1,9247
month_wise_trend,JavaScript,2022,12,1,9137
month_wise_trend,Java,2023,1,1,13991
month_wise_trend,Python,2023,9,4,141724
month_wise_trend,HTML,2024,1,1,13534
month_wise_trend,C#,2023,2,2,40475
month_wise_trend,Python,2023,12,4,120051
month_wise_trend,Swift,2022,11,1,12822
month_wise_trend,TypeScript,2024,9,7,133353
month_wise_trend,JavaScript,2023,4,2,48260
month_wise_trend,C++,2023,9,1,24130
month_wise_trend,TypeScript,2022,5,5,78129
month_wise_trend,TypeScript,2022,6,3,45854
month_wise_trend,JavaScript,2023,2,3,59122
month_wise_trend,JavaScript,2022,2,1,16636
month_wise_trend,Makefile,2022,10,1,8022
month_wise_trend,TypeScript,2023,2,6,129905
month_wise_trend,Go,2024,6,1,14538
month_wise_trend,Ruby,2024,1,1,54073
month_wise_trend,TypeScript,2022,1,4,82805
month_wise_trend,Python,2023,6,9,272593
month_wise_trend,Jupyter Notebook,2022,3,2,92436
month_wise_trend,Swift,2023,5,1,20229
month_wise_trend,PHP,2024,3,1,14847
month_wise_trend,Rust,2023,11,1,25576
month_wise_trend,Cuda,2024,4,1,29551
month_wise_trend,Shell,2024,11,1,27592
