language,year,repo_count,prev_count,growth_rate_pct
Astro,2022,1,,
Batchfile,2024,1,,
C,2022,8,,
C,2023,3,8.0,-62.50
C,2024,4,3.0,33.33
C#,2022,2,,
C#,2023,4,2.0,100.00
C++,2022,14,,
C++,2023,4,14.0,-71.43
C++,2024,3,4.0,-25.00
CSS,2022,1,,
CSS,2023,1,1.0,0.00
Cuda,2022,3,,
Cuda,2024,1,3.0,-66.67
Dart,2022,3,,
Dart,2023,6,3.0,100.00
Dart,2024,4,6.0,-33.33
Dockerfile,2022,3,,
Elixir,2022,1,,
Go,2022,21,,
Go,2023,10,21.0,-52.38
Go,2024,12,10.0,20.00
HTML,2022,7,,
HTML,2023,4,7.0,-42.86
HTML,2024,4,4.0,0.00
Java,2022,2,,
Java,2023,7,2.0,250.00
Java,2024,2,7.0,-71.43
JavaScript,2022,13,,
JavaScript,2023,12,13.0,-7.69
JavaScript,2024,8,12.0,-33.33
Jupyter Notebook,2022,18,,
Jupyter Notebook,2023,22,18.0,22.22
Jupyter Notebook,2024,21,22.0,-4.55
Kotlin,2022,11,,
Kotlin,2023,2,11.0,-81.82
Kotlin,2024,4,2.0,100.00
Lua,2022,5,,
Lua,2024,1,5.0,-80.00
MATLAB,2022,1,,
MDX,2022,1,,
MDX,2023,1,1.0,0.00
MDX,2024,3,1.0,200.00
Makefile,2022,1,,
Mojo,2023,1,,
Objective-C,2022,1,,
PHP,2024,3,,
PowerShell,2022,1,,
PowerShell,2023,1,1.0,0.00
PowerShell,2024,1,1.0,0.00
Python,2022,63,,
Python,2023,117,63.0,85.71
Python,2024,107,117.0,-8.55
QML,2022,1,,
Ruby,2023,3,,
Ruby,2024,2,3.0,-33.33
Rust,2022,20,,
Rust,2023,21,20.0,5.00
Rust,2024,9,21.0,-57.14
SVG,2022,1,,
Scala,2023,1,,
Shell,2022,4,,
Shell,2023,2,4.0,-50.00
Shell,2024,9,2.0,350.00
Solidity,2022,1,,
Svelte,2022,1,,
Svelte,2024,2,1.0,100.00
Swift,2022,5,,
Swift,2023,4,5.0,-20.00
Swift,2024,2,4.0,-50.00
SystemVerilog,2024,1,,
Text,2022,1,,
TypeScript,2022,52,,
TypeScript,2023,43,52.0,-17.31
TypeScript,2024,77,43.0,79.07
Vue,2022,2,,
Vue,2023,3,2.0,50.00
Vue,2024,1,3.0,-66.67
Zig,2022,1,,
Zig,2023,1,1.0,0.00
